genename	S1	S2	S3	S4	S5	S6
PbHAK9	78.41194867	59.68021009	66.75480043	74.36706384	124.7794973	70.50403285
PbHAK17	59.77154592	38.66135587	50.61103192	40.69575617	29.29483672	42.93016733
PbHAK20	32.03565456	19.08352782	22.91451655	50.80854225	98.94475424	58.22599173
PbHAK19	25.13108729	44.45286754	35.22038472	43.20821288	46.03593151	22.73664204
PbHAK6	13.96293506	14.83788058	21.20751671	34.6137356	46.46288527	47.37422849
PbHAK3	12.08341387	7.869379539	8.824187148	10.22928317	11.01754698	8.121896507
PbHAK12	3.768886003	2.415984396	2.015546193	2.55645207	2.226133844	3.082098838
PbHAK5	8.575955908	14.51503026	9.957094887	7.195642493	3.66959662	4.458821998
PbHAK16	7.599811282	2.818648462	4.042879207	2.392235531	1.377279777	0.578631583
PbHAK21	2.312403596	2.222159659	2.51970244	1.816477149	2.403469929	2.200761477
PbHAK22	2.181309367	1.926220855	1.489344112	1.950633728	3.150118049	1.297497773
PbHAK7	2.301401675	1.875940825	1.513531669	4.728183167	3.529076887	6.233904375
PbHAK8	0.628856026	1.983270773	0.512040565	0.685536152	0.325613607	0.512995761
PbHAK1	0.586271156	0.517710942	1.4851393	1.398059726	0.885394142	0.464971808
PbHAK2	0.466593065	0.274685564	0	0	0	0.074011016
PbHAK4	0.432403056	1.298244489	0.821521021	1.072381445	0.39181235	0.329221418
PbHAK11	0.080576312	0.284613958	0.076543324	0.153717946	0.146024844	0.996919474
PbHAK10	0	0.154062773	0.082866468	0.332832769	0.079043883	0
PbHAK18	0	0	0	0	0.069038328	0
